Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-25681,1096,658,7,Electronics,Electronic Games,COD,04-06-2018,Bhawna,Madhya Pradesh,Indore
B-26055,5729,64,14,Furniture,Chairs,EMI,10-03-2018,Harivansh,Uttar Pradesh,Mathura
B-25955,2927,146,8,Furniture,Bookcases,EMI,16-01-2018,Shiva,Maharashtra,Pune
B-26093,2847,712,8,Electronics,Printers,Credit Card,27-03-2018,Sarita,Maharashtra,Pune
B-25602,2617,1151,4,Electronics,Phones,Credit Card,01-04-2018,Vrinda,Maharashtra,Pune
B-25881,2244,247,4,Clothing,Trousers,Credit Card,25-11-2018,Lalita,Uttar Pradesh,Mathura
B-25696,275,-275,4,Clothing,Saree,COD,21-06-2018,Noopur,Karnataka,Bangalore
B-25687,387,-213,5,Clothing,Saree,UPI,11-06-2018,Sanjna,Maharashtra,Mumbai
B-25643,50,-44,2,Clothing,Hankerchief,UPI,29-04-2018,Kirti,Jammu and Kashmir,Kashmir
B-25851,135,-54,5,Clothing,Kurti,COD,06-11-2018,Kushal,Nagaland,Kohima
B-25703,231,-190,9,Clothing,Hankerchief,COD,28-06-2018,Ekta,Madhya Pradesh,Indore
B-25887,2125,-234,6,Electronics,Printers,EMI,01-12-2018,Vishakha,Uttar Pradesh,Prayagraj
B-25923,3873,-891,6,Electronics,Phones,Credit Card,27-12-2018,Gopal,Maharashtra,Mumbai
B-25756,729,-492,5,Furniture,Bookcases,UPI,20-08-2018,Mohan,Maharashtra,Mumbai
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,25-08-2018,Madhav,Uttar Pradesh,Mathura
B-25655,6,-3,1,Clothing,Hankerchief,UPI,11-05-2018,Nida,Madhya Pradesh,Indore
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,19-09-2018,Madan Mohan,Uttar Pradesh,Mathura
B-26095,6,1,1,Clothing,Kurti,UPI,28-03-2018,Monisha,Rajasthan,Jaipur
B-25853,2093,721,5,Furniture,Chairs,Credit Card,08-11-2018,Gaurav,Gujarat,Ahmedabad
B-25735,7,-1,2,Clothing,Skirt,UPI,30-07-2018,Arindam,Uttar Pradesh,Lucknow
B-25910,1622,-624,5,Furniture,Tables,Credit Card,14-12-2018,Jay,Delhi,Delhi
B-25950,1622,95,5,Electronics,Printers,Credit Card,13-01-2018,Shruti,Madhya Pradesh,Indore
B-25744,373,254,6,Electronics,Printers,UPI,08-08-2018,Devendra,Andhra Pradesh,Hyderabad
B-25845,82,-33,4,Clothing,Kurti,COD,03-11-2018,Snel,Kerala ,Thiruvananthapuram
B-26001,8,2,2,Clothing,Skirt,UPI,07-02-2018,Patil,Delhi,Delhi
B-25830,1954,782,3,Electronics,Phones,Credit Card,26-10-2018,Aastha,Himachal Pradesh,Simla
B-25842,1543,370,8,Electronics,Printers,Credit Card,02-11-2018,Sheetal,Maharashtra,Pune
B-25778,1506,-266,6,Electronics,Printers,Credit Card,11-09-2018,Surabhi,Maharashtra,Mumbai
B-25686,1829,-56,6,Furniture,Tables,Credit Card,11-06-2018,Pooja,Himachal Pradesh,Simla
B-25754,9,-1,3,Clothing,Skirt,UPI,18-08-2018,Akshay,Bihar,Patna
B-26048,1461,202,5,Furniture,Tables,EMI,04-03-2018,Parth,Maharashtra,Pune
B-25816,391,113,8,Clothing,Stole,COD,12-10-2018,Mane,Andhra Pradesh,Hyderabad
B-26022,1824,1303,8,Electronics,Phones,Credit Card,18-02-2018,Shrichand,Punjab,Chandigarh
B-25883,16,-15,4,Clothing,Hankerchief,UPI,27-11-2018,Saptadeep,Gujarat,Surat
B-26003,1745,122,2,Furniture,Tables,Credit Card,08-02-2018,Hitesh,Madhya Pradesh,Bhopal
B-26097,663,-212,5,Electronics,Printers,UPI,28-03-2018,Vini,Karnataka,Bangalore
B-25710,10,-1,1,Clothing,Leggings,UPI,05-07-2018,Megha,Maharashtra,Pune
B-25797,1630,802,5,Furniture,Tables,EMI,30-09-2018,Sauptik,Madhya Pradesh,Indore
B-25618,12,0,2,Clothing,Hankerchief,UPI,18-04-2018,Manju,Andhra Pradesh,Hyderabad
B-25723,12,-7,2,Clothing,Leggings,UPI,18-07-2018,Wale,Maharashtra,Mumbai
B-25755,1709,564,3,Clothing,Trousers,Credit Card,19-08-2018,Shourya,Kerala ,Thiruvananthapuram
B-25788,12,3,1,Clothing,Stole,UPI,21-09-2018,Dinesh,Tamil Nadu,Chennai
B-25681,1625,-77,3,Electronics,Phones,EMI,04-06-2018,Bhawna,Madhya Pradesh,Indore
B-25991,13,5,2,Clothing,Hankerchief,UPI,03-02-2018,Mansi,Madhya Pradesh,Indore
B-25779,1361,980,3,Furniture,Tables,COD,12-09-2018,Savi,Maharashtra,Pune
B-25909,1622,-448,3,Electronics,Phones,EMI,13-12-2018,Sujay,Maharashtra,Pune
B-25943,1547,340,6,Electronics,Accessories,EMI,09-01-2018,Shardul,Gujarat,Ahmedabad
B-25935,1657,460,4,Furniture,Chairs,Credit Card,04-01-2018,Sudhir,Nagaland,Kohima
B-25613,1603,0,9,Clothing,Saree,Credit Card,12-04-2018,Mohan,Haryana,Chandigarh
B-25729,1549,-439,4,Electronics,Phones,Credit Card,22-07-2018,Madhulika,Madhya Pradesh,Bhopal
B-25772,1183,106,4,Electronics,Printers,EMI,02-09-2018,Sanjana,Bihar,Patna
B-25655,74,-123,8,Clothing,Skirt,UPI,11-05-2018,Nida,Madhya Pradesh,Indore
B-25640,1499,239,13,Clothing,Saree,Credit Card,27-04-2018,Paridhi,Rajasthan,Jaipur
B-25810,1120,199,6,Clothing,Saree,EMI,10-10-2018,Nripraj,Punjab,Chandigarh
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,01-10-2018,Aryan,Madhya Pradesh,Bhopal
B-26085,1487,624,3,Clothing,Trousers,Credit Card,26-03-2018,Shrichand,Punjab,Chandigarh
B-25868,1118,206,2,Furniture,Tables,Credit Card,18-11-2018,Vikash,Goa,Goa
B-25714,11,-5,2,Clothing,Hankerchief,COD,09-07-2018,Stuti,Karnataka,Bangalore
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,15-09-2018,Rohit,Rajasthan,Jaipur
B-25608,1364,1864,5,Furniture,Tables,Credit Card,08-04-2018,Aarushi,Tamil Nadu,Chennai
B-26051,1337,147,7,Electronics,Printers,Credit Card,07-03-2018,Parishi,West Bengal,Kolkata
B-25900,15,2,1,Clothing,Leggings,Debit Card,09-12-2018,Anand,Punjab,Amritsar
B-25760,322,-193,5,Electronics,Printers,UPI,24-08-2018,Pooja,Goa,Goa
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,26-08-2018,Anudeep,Madhya Pradesh,Indore
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,04-02-2018,Yohann,Delhi,Delhi
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,21-01-2018,Saloni,West Bengal,Kolkata
B-25967,17,2,2,Clothing,Skirt,Debit Card,21-01-2018,Sudevi,Uttar Pradesh,Prayagraj
B-25674,17,-12,5,Clothing,Skirt,Debit Card,28-05-2018,Mahima,Maharashtra,Pune
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,02-01-2018,Girase,Kerala ,Thiruvananthapuram
B-25777,1076,-38,4,Electronics,Printers,Credit Card,10-09-2018,Aditi,Madhya Pradesh,Indore
B-26006,1301,573,5,Electronics,Accessories,Credit Card,09-02-2018,Arpita,Karnataka,Bangalore
B-25697,1300,-16,8,Electronics,Printers,Credit Card,22-06-2018,Vijay,Jammu and Kashmir,Kashmir
B-25667,11,-2,4,Clothing,Hankerchief,COD,23-05-2018,Anjali,Haryana,Chandigarh
B-25836,1298,65,9,Electronics,Printers,EMI,29-10-2018,Arti,Maharashtra,Pune
B-25984,304,97,6,Clothing,Stole,UPI,30-01-2018,Kajal,Delhi,Delhi
B-25728,1055,264,4,Electronics,Printers,EMI,22-07-2018,Ameesha,Maharashtra,Pune
B-25757,17,-13,4,Clothing,Skirt,Debit Card,21-08-2018,Vishakha,Madhya Pradesh,Indore
B-25957,147,73,3,Clothing,Stole,COD,18-01-2018,Mahima,Madhya Pradesh,Indore
